#,ชุด,Scenario,ขั้นในผัง,บทบาท,Use case,ที่มา,สถานะการทำ
11,โอนถาวร,TR-02,T2,ปลายทาง,เห็นรายการรถที่เสนอโอนเข้ามายังหน่วยงานตัวเอง,SC-F13-03,ยังไม่ทำ
12,โอนถาวร,TR-02,T2,ปลายทาง,เปิดดูข้อมูลรถ + ประวัติซ่อมล่วงหน้าก่อนตัดสินใจรับ,SC-F13-03,ยังไม่ทำ
13,โอนถาวร,TR-02,T7,ปลายทาง,บันทึกผลตรวจรับสภาพ ณ วันโอน (รายการตรวจ + รูป),SC-F13-03 · ❓ DB ไม่มีที่เก็บ,ยังไม่เคาะ
14,โอนถาวร,TR-02,T7,ระบบ,เมื่อปลายทางกดรับโอน ให้ลง vehicle_transferee_date แยกจากวันที่ฝั่งต้นทาง,DB (มี 2 วันที่แยกกัน),ยังไม่ทำ
15,โอนถาวร,TR-03,T5,ระบบ,ตรวจใบแจ้งซ่อมที่ยังไม่ปิดของรถคันนั้นก่อนยืนยันโอน,SC-F13-02,ยังไม่ทำ
16,โอนถาวร,TR-03,T5,ระบบ,ตรวจรอบบิล Fleet card ที่ยังไม่เคลียร์ของรถคันนั้น,SC-F13-02,ยังไม่ทำ
17,โอนถาวร,TR-03,T5,ระบบ,ตรวจใบนำตัวที่ยัง active ของรถคันนั้น,SC-F13-02,ยังไม่ทำ
18,โอนถาวร,TR-03,T5,ระบบ,แสดงรายการค้างพร้อมลิงก์เปิดไปที่ใบนั้นได้,SC-F13-02,ยังไม่ทำ
19,โอนถาวร,TR-03,T6,ต้นทาง,เลือกได้ว่าจะปิดรายการค้างก่อน หรือบันทึกข้อตกลงส่งมอบพร้อมรายการค้าง,❓ ยังไม่เคาะว่าบล็อกหรือแค่เตือน,ยังไม่เคาะ
20,โอนถาวร,TR-04,T2,ปลายทาง,กดไม่รับโอนพร้อมระบุเหตุผลได้,❓ ระเบียบไม่ได้เขียนว่าปฏิเสธได้ไหม,ยังไม่เคาะ
21,โอนถาวร,TR-04,T3,ต้นทาง,เห็นเหตุผลที่ถูกปฏิเสธ,❓ ไม่มีที่มา,ยังไม่เคาะ
22,โอนถาวร,TR-04,T3,ต้นทาง,เสนอหน่วยงานปลายทางรายอื่นต่อจากใบเดิมได้โดยไม่ต้องกรอกใหม่,❓ ไม่มีที่มา,ยังไม่เคาะ
23,โอนถาวร,TR-05,T8,ปลายทาง,ส่งคำขอรหัสสังกัดใหม่ไป กจย. จากใบโอนได้โดยตรง,ข้อ 8.3 (ปลายทางเป็นผู้แจ้ง),ยังไม่ทำ
24,โอนถาวร,TR-05,T8,ระบบ,นับ 7 วันทำการของขั้นแจ้ง กจย. และแสดงวันครบกำหนด,ข้อ 8.3,ยังไม่ทำ
25,โอนถาวร,TR-05,T9,กจย.,เห็นคิวคำขอรหัสสังกัดใหม่ทั้งหมด,ข้อ 8.1 (กจย. เป็นเจ้าของทะเบียนรหัส),ยังไม่ทำ
26,โอนถาวร,TR-05,T9,กจย.,ออกรหัสสังกัดใหม่ตามรูปแบบ <สังกัด>-<ประเภท>-<ลำดับ>,ข้อ 8.1 · ผนวก ง,ยังไม่ทำ
27,โอนถาวร,TR-05,T9,ระบบ,เติมรหัสประเภทให้เองจากประเภทรถ (14 ประเภท 01-10·20·25·30·40),ผนวก ง ข้อ 1,ยังไม่ทำ
28,โอนถาวร,TR-05,T10,ปลายทาง,ยืนยันว่าประทับตรา/ติดสติกเกอร์รหัสใหม่แล้ว พร้อมแนบรูป,ข้อ 8.3 · แบบ SB3-015/69001,ยังไม่ทำ
29,โอนถาวร,TR-05,T10,ระบบ,นับ 7 วันทำการของขั้นประทับตราแยกจากนาฬิกาของขั้นแจ้ง,ข้อ 8.3 (นับถัดจากวันได้รับรหัส),ยังไม่ทำ
30,โอนถาวร,TR-06,T8·T10,ระบบ,เตือนเมื่อใกล้ครบ 7 วันทำการ ทั้งสองขั้น,ข้อ 8.3,ยังไม่ทำ
31,โอนถาวร,TR-06,T8·T10,กจย.,เห็นรายการรถที่เกินกำหนดแยกตามขั้น,ข้อ 8.3,ยังไม่ทำ
32,โอนถาวร,TR-06,T8·T10,ระบบ,นับเฉพาะวันทำการ ไม่นับเสาร์-อาทิตย์และวันหยุด,ข้อ 8.3 (ระบุว่า วันทำการ),ยังไม่ทำ
33,โอนถาวร,TR-07,T5,ระบบ,ตัดสินว่าใบแจ้งซ่อมที่ยังเดินอยู่ย้ายตามรถหรือค้างแผนกเดิมจนจบงาน,❓ map-05 · usecase สิทธิ์ข้อ 20,ยังไม่เคาะ
34,โอนถาวร,TR-07,T12,หน่วยงานเดิม,ยังเปิดดูใบแจ้งซ่อมที่ตัวเองเปิดไว้ได้หลังรถย้ายสังกัด,❓ 09-สิทธิ์-2-ด่าน (ใบผูกกับรถ),ยังไม่เคาะ
35,โอนถาวร,TR-07,T12,ระบบ,ถ้าใบย้ายตามรถ ให้คำนวณแผนก กบค. ปลายทางใหม่ตามภาคของสังกัดใหม่,map-05 routing,ยังไม่ทำ
36,โอนถาวร,TR-08,T11,ระบบ,แจ้งผู้รับผิดชอบชำระภาษีประจำปีคนใหม่เมื่อโอนข้าม สนญ. ↔ ภูมิภาค,ข้อ 23,ยังไม่ทำ
37,โอนถาวร,TR-08,T11,ระบบ,ระบุว่าใครเป็นผู้ต่อ พ.ร.บ. รอบถัดไปตามสังกัดใหม่,ข้อ 30.1.2,ยังไม่ทำ
38,โอนถาวร,TR-08,T11,ระบบ,เมื่อปลายทางเป็น กฟข. และทำประกัน ป.3 ให้เตือนว่าต้องแจ้ง กจย.,ข้อ 30.3.5,ยังไม่ทำ
39,โอนถาวร,TR-09,T12,ระบบ,ตรวจจากประเภทรถว่าติดเครื่องจักรกลทุ่นแรงไหม (รหัส 09 ปั้นจั่น · 10 แทร็กเตอร์),ผนวก ง ข้อ 1,ยังไม่ทำ
40,โอนถาวร,TR-09,T12,ระบบ,ถ้าใช่ ให้แจ้ง กบค. ปรับปรุงฐานข้อมูลเครื่องจักรกลทุ่นแรง,❓ อนุมานจากข้อ 25.5 (ระบุเฉพาะตอนจำหน่าย),ยังไม่เคาะ
41,โอนถาวร,TR-09,T12,ระบบ,ข้อมูลรอบตรวจสอบความปลอดภัยประจำปีของเครน/กระเช้าติดไปกับรถ,ข้อ 14 (ตรวจทุกปี),ยังไม่ทำ
42,โอนถาวร,TR-10,T0,ระบบ,ระบุได้ว่ารถคันนั้นเป็นรถเช่าลีสซิ่ง (รหัสประเภท 25),ผนวก ง ข้อ 1.12,ยังไม่ทำ
43,โอนถาวร,TR-10,T0,ระบบ,กันไม่ให้เปิดใบโอนทรัพย์สินกับรถเช่า หรือแยกเส้นทางเป็นการแก้สัญญาเช่า,❓ ระเบียบไม่พูดถึงรถเช่าเรื่องโอน/จำหน่าย,ยังไม่เคาะ
44,โอนถาวร,TR-11,—,ต้นทาง,ยกเลิกใบโอนที่ปลายทางยังไม่รับได้ พร้อมระบุเหตุผล,❓ ไม่มีที่มา,ยังไม่เคาะ
45,โอนถาวร,TR-11,—,ต้นทาง,ยกเลิกหลังปลายทางรับแล้วทำได้ไหม และย้อนรหัสสังกัดยังไง,❓ ไม่มีที่มา,ยังไม่เคาะ
46,โอนถาวร,TR-12,T12,ทุกบทบาทที่เห็นรถ,เปิดหน้าข้อมูลรถแล้วเห็นประวัติการเปลี่ยนสังกัดทั้งหมดของรถคันนั้น,DB vms_trn_vehicle_transfer,ยังไม่ทำ
47,โอนถาวร,TR-12,T12,ระบบ,แต่ละรายการแสดง สังกัดเดิม→ใหม่ · เจ้าของเดิม→ใหม่ · cost center เดิม→ใหม่ · วันที่ทั้ง 2 ฝั่ง · เหตุผล,DB (มีครบทุกคอลัมน์),ยังไม่ทำ
48,โอนถาวร,TR-12,T12,ผู้บริหาร/กจย.,กรองรายการโอนตามช่วงวันที่/หน่วยงาน เพื่อออกรายงาน,DB,ยังไม่ทำ
49,ยืมใช้ชั่วคราว,LN-01,B0-B1,ต้นสังกัดของรถ,เปิดคำขอใช้รถข้ามหน่วยงานได้ — **ต้นสังกัดของรถเป็นผู้เปิดและถือใบ ไม่ใช่หน่วยงานผู้ยืม**,ข้อ 11.2.5 (ผู้อนุมัติอยู่ฝั่งรถทุกอนุข้อ) · ❓ ยังไม่รู้ว่าใช้ใบนำตัว F05 หรือใบใหม่,ยังไม่เคาะ
50,ยืมใช้ชั่วคราว,LN-01,B6-B7,ระบบ,เลือกผู้อนุมัติให้เองตามขนาดหน่วยงานต้นสังกัดและปลายทาง,ข้อ 11.2.5.1 · 11.2.5.2,ยังไม่ทำ
51,ยืมใช้ชั่วคราว,LN-01,B6-B7,ผู้อนุมัติ,เห็นคำขอในคิวของตัวเอง และอนุมัติ/ไม่อนุมัติพร้อมเหตุผล,ข้อ 11.2.5,ยังไม่ทำ
52,ยืมใช้ชั่วคราว,LN-02,B8,ระบบ,เมื่อปลายทางอยู่คนละเขต ให้เปลี่ยนผู้อนุมัติเป็น ผชก. เขตที่รถสังกัดอัตโนมัติ,ข้อ 11.2.5.3,ยังไม่ทำ
53,ยืมใช้ชั่วคราว,LN-02,B8,ผชก. เขต,มอบหมายผู้อนุมัติแทนได้,ข้อ 11.2.5.3 (หรือผู้ที่ได้รับมอบหมาย),ยังไม่ทำ
54,ยืมใช้ชั่วคราว,LN-03,B9,ผู้ขอ,เปิดคำขอประเภทขนส่งพัสดุในภาคเดียวกันได้,ข้อ 11.2.5.4,ยังไม่ทำ
55,ยืมใช้ชั่วคราว,LN-03,B9,ระบบ,บันทึกว่าค่าขนส่งลงที่ กฟภ. ปลายทางที่รับโอนพัสดุ ไม่ใช่ต้นสังกัดรถ,ข้อ 11.2.5.4,ยังไม่ทำ
56,ยืมใช้ชั่วคราว,LN-04,B10,ผู้ควบคุมการใช้รถ,บันทึกการใช้รถฉุกเฉินนอกเขตย้อนหลังได้,ข้อ 11.2.4,ยังไม่ทำ
57,ยืมใช้ชั่วคราว,LN-04,B10,ระบบ,ติดธงว่าเป็นเคสฉุกเฉิน และบังคับให้มีการรายงานขออนุมัติ ผชก. เขต,ข้อ 11.2.4 (ต้องรายงานทุกครั้ง),ยังไม่ทำ
58,ยืมใช้ชั่วคราว,LN-04,B10,ผชก. เขต,เห็นคิวรายการฉุกเฉินที่รออนุมัติย้อนหลัง,ข้อ 11.2.4,ยังไม่ทำ
59,ยืมใช้ชั่วคราว,LN-05,B2,ระบบ,รถ สนญ. ใช้ในเขต กทม. → ผู้อนุมัติเป็นหัวหน้าหน่วยงานผู้รับผิดชอบ,ข้อ 11.1.3,ยังไม่ทำ
60,ยืมใช้ชั่วคราว,LN-05,B3,ระบบ,ออกนอกเขต กทม. → เปลี่ยนผู้อนุมัติเป็น ผอ.ฝ่าย อัตโนมัติ,ข้อ 11.1.3,ยังไม่ทำ
61,ยืมใช้ชั่วคราว,LN-05,B4,ผู้ขอ,ระบุค้างแรมข้ามวัน แล้วระบบเพิ่มขั้นขออนุมัติค้างแรมถึง ผอ.ฝ่าย,ข้อ 11.1.4,ยังไม่ทำ
62,ยืมใช้ชั่วคราว,LN-06,B5,ระบบ,รถในระบบ Carpool สนญ. → ผู้อนุมัติเป็น อก.จย.,ข้อ 11.1.5 · DB vms_mas_carpool_approver,มีบางส่วน
63,ยืมใช้ชั่วคราว,LN-07,B14,พขร.,แจ้งรถเสียระหว่างอยู่ต่างพื้นที่ได้จากมือถือ,ข้อ 13.3 · ข้อ 7.2,มีบางส่วน
64,ยืมใช้ชั่วคราว,LN-07,B14,ระบบ,ส่งเรื่องให้ผู้ควบคุมการใช้รถของต้นสังกัดก่อนเสมอ ไม่ใช่หน่วยงานพื้นที่,ข้อ 13.3,ยังไม่ทำ
65,ยืมใช้ชั่วคราว,LN-07,B15,ต้นสังกัด,เลือกการไฟฟ้าในพื้นที่ที่จะให้จัดซ่อมได้,ข้อ 13.3,ยังไม่ทำ
66,ยืมใช้ชั่วคราว,LN-07,B16,ต้นสังกัด,ระบุว่าค่าใช้จ่ายโอนกลับต้นสังกัด หรือเข้างบงานที่ปฏิบัติ,ข้อ 13.3,ยังไม่ทำ
67,ยืมใช้ชั่วคราว,LN-07,B17,ระบบ,บันทึกรายการจัดซ่อมในชื่อต้นสังกัด ไม่ใช่หน่วยงานที่ซ่อมให้,ข้อ 13.3,ยังไม่ทำ
68,ยืมใช้ชั่วคราว,LN-08,B12,ผู้ควบคุมการใช้รถ,เลือก Fleet card ใบที่จะใช้ได้เมื่อรถมีมากกว่า 1 ใบ,สรุปประชุม 4 · DB vms_mas_fleet_card_mapping,ยังไม่ทำ
69,ยืมใช้ชั่วคราว,LN-08,B12,ระบบ,เตือนเมื่อไปพื้นที่ที่ Fleet card ใบปัจจุบันไม่ครอบคลุม,❓ ไม่มีที่มา,ยังไม่เคาะ
70,ยืมใช้ชั่วคราว,LN-09,B18,พขร.,ลงรายการ ยพ.6 โดยระบุหน่วยงานที่ใช้ยานพาหนะรายเที่ยว,ผนวก ง (ฟอร์มมีคอลัมน์นี้),ยังไม่ทำ
71,ยืมใช้ชั่วคราว,LN-09,B18,ระบบ,สรุป ยพ.6 รายเดือนแยกได้ว่าเที่ยวไหนหน่วยงานไหนใช้,ผนวก ง,ยังไม่ทำ
72,ยืมใช้ชั่วคราว,LN-09,B19,หัวหน้าหน่วยงานที่รถสังกัด,ตรวจ ยพ.6 ไม่เกินวันที่ 5 ของเดือนถัดไป,ข้อ 11.2.6,ยังไม่ทำ
73,ยืมใช้ชั่วคราว,LN-10,B21,ระบบ,เตือนเมื่อรถอยู่กับหน่วยงานอื่นต่อเนื่องเกินเกณฑ์ที่ตั้งไว้,❓ ระเบียบไม่มีเกณฑ์ระยะเวลา,ยังไม่เคาะ
74,ยืมใช้ชั่วคราว,LN-10,B21,ผู้ดูแลระบบ,ตั้งค่าเกณฑ์ระยะเวลาการยืมใช้ได้ที่ Admin,❓ ไม่มีที่มา,ยังไม่เคาะ
75,ยืมใช้ชั่วคราว,LN-11,B21,ผู้ขอ,บันทึกการคืนรถพร้อมเลขไมล์/ชั่วโมงเครื่องจักร ณ วันคืน,ข้อ 11.2.7 · ผนวก ง,ยังไม่ทำ
76,ยืมใช้ชั่วคราว,LN-11,B20,ผู้ควบคุมการใช้รถ,บันทึกข้อมูลการใช้รถลงระบบไม่เกินวันที่ 10 ของเดือนถัดไป,ข้อ 11.2.7,ยังไม่ทำ
77,ยืมใช้ชั่วคราว,LN-11,B21,ระบบ,สรุปค่าใช้จ่ายที่เกิดระหว่างยืมกลับเข้าต้นสังกัด,ข้อ 13.3 (หลักการโอนค่าใช้จ่าย),ยังไม่ทำ
78,โอนถาวร,TR-13,T0a,หน่วยงานที่ขาดรถ,แจ้งความต้องการรถเข้ามาได้ โดยยังไม่สร้างใบโอน,✅ เคาะ 22 ก.ย. 2569,ยังไม่ทำ
79,โอนถาวร,TR-13,T0a,ต้นทาง,เห็นรายการความต้องการที่ตรงกับรถว่างของหน่วยงานตัวเอง,✅ เคาะ 22 ก.ย. 2569,ยังไม่ทำ
80,โอนถาวร,TR-13,T0a,ต้นทาง,กดรับเรื่องแล้วให้ระบบเปิดใบโอนโดยเติมข้อมูลจากคำขอให้อัตโนมัติ,✅ เคาะ 22 ก.ย. 2569,ยังไม่ทำ
81,โอนถาวร,TR-13,T0a,ระบบ,กันไม่ให้การแจ้งความต้องการสร้าง record ใน vms_trn_vehicle_transfer,✅ เคาะ 22 ก.ย. 2569 (กัน state machine 2 ชุด),ยังไม่ทำ
82,ยืมใช้ชั่วคราว,LN-12,B0a,หน่วยงานผู้ขอยืม,แจ้งความต้องการขอยืมรถของหน่วยงานอื่นได้,ข้อ 11.2.5 (ปลายทางไม่มีอำนาจอนุมัติ),ยังไม่ทำ
83,ยืมใช้ชั่วคราว,LN-12,B0a,ต้นสังกัดของรถ,รับเรื่องขอยืมแล้วเปิดคำขอใช้รถในนามของตัวเอง,ข้อ 11.2.5.3 (ผชก. เขตที่ยานพาหนะนั้นสังกัด),ยังไม่ทำ
84,ยืมใช้ชั่วคราว,LN-12,B0a,ระบบ,แสดงให้ผู้ขอยืมติดตามสถานะคำขอได้ แม้ใบจะเป็นของต้นสังกัด,ข้อ 11.2.5,ยังไม่ทำ
