Scenario,ชุด,ชื่อ Scenario,ประเภท,Actor หลัก,เงื่อนไขตั้งต้น,ขั้นตอนโดยย่อ,ผลที่คาดหวัง,ที่มา/Business Rule,ขั้นในผัง,สถานะ
TR-12,โอนถาวร,ดูประวัติการโอนย้ายของรถ,ปกติ,ทุกบทบาทที่เห็นรถ,รถเคยเปลี่ยนสังกัดมาก่อน,เปิดหน้าข้อมูลรถ → ดูรายการการโอนทั้งหมด,เห็นสังกัดเดิม→ใหม่ วันที่ทั้ง 2 ฝั่ง เหตุผล ผู้ดำเนินการ,DB vms_trn_vehicle_transfer (เก็บครบอยู่แล้ว),T12,ยังไม่ทำ
LN-01,ยืมใช้ชั่วคราว,ใช้รถข้ามหน่วยงานในเขตเดียวกัน,ปกติ,หน่วยงานต้นสังกัดของรถ,ต้องเอารถไปทำงานที่หน่วยงานอื่นในเขตเดียวกัน,ขออนุมัติตามระดับ → อนุมัติ → ใช้งาน → คืน,รถไปทำงานได้โดยสังกัดไม่เปลี่ยน,ข้อ 11.2.5.1 · 11.2.5.2,B6–B7,ยังไม่ทำ
LN-02,ยืมใช้ชั่วคราว,ใช้รถไปปฏิบัติงานเขตอื่น,ปกติ,หน่วยงานต้นสังกัดของรถ,ปลายทางอยู่คนละเขต,ขออนุมัติ ผชก. เขตที่รถสังกัด หรือผู้รับมอบหมาย,ใบอนุมัติผูกกับช่วงวันและพื้นที่ปลายทาง,ข้อ 11.2.5.3,B8,ยังไม่ทำ
LN-03,ยืมใช้ชั่วคราว,ใช้รถขนส่งพัสดุในภาคเดียวกัน,ทางเลือก,ผชก. เขต,ต้องขนส่งพัสดุอุปกรณ์ไฟฟ้าระหว่างหน่วยงานในภาค,ผชก. เขตอนุมัติหรือสั่งการให้เดินทางรับส่งพัสดุ,ค่าขนส่งลงที่ กฟภ. ปลายทางที่รับโอนพัสดุ ไม่ใช่ต้นสังกัดรถ,ข้อ 11.2.5.4,B9,ยังไม่ทำ
LN-04,ยืมใช้ชั่วคราว,เร่งด่วนฉุกเฉินออกนอกเขตจำหน่ายไฟฟ้า,ข้อยกเว้น,ผู้ควบคุมการใช้รถ,งานเร่งด่วนที่ถ้าช้าจะเกิดความเสียหาย,ใช้รถออกนอกเขตไปก่อน → รายงานขออนุมัติ ผชก. เขตทุกครั้ง,ระบบรองรับการอนุมัติย้อนหลัง + ติดธงว่าเป็นเคสฉุกเฉิน,ข้อ 11.2.4,B10,ยังไม่ทำ
LN-05,ยืมใช้ชั่วคราว,ใช้รถของสำนักงานใหญ่,ปกติ,หน่วยงาน สนญ.,รถสังกัดสำนักงานใหญ่,ในเขต กทม. → หัวหน้าหน่วยงาน · นอกเขต → ผอ.ฝ่าย · ค้างแรมข้ามวัน → ขออนุมัติค้างแรมเพิ่มถึง ผอ.ฝ่าย,ผู้อนุมัติเปลี่ยนตามพื้นที่และการค้างแรมอัตโนมัติ,ข้อ 11.1.3 · 11.1.4,B2–B4,ยังไม่ทำ
LN-06,ยืมใช้ชั่วคราว,ใช้รถในระบบ Carpool สำนักงานใหญ่,ปกติ,ผู้ขอใช้รถ สนญ.,รถอยู่ในระบบ Carpool,ขออนุมัติ อก.จย.,ผู้อนุมัติเป็น อก.จย. ไม่ใช่หัวหน้าหน่วยงานผู้ขอ,ข้อ 11.1.5 · DB vms_mas_carpool*,B5,มีบางส่วน
LN-07,ยืมใช้ชั่วคราว,รถเสียระหว่างไปปฏิบัติงานต่างพื้นที่,ข้อยกเว้น,พขร. + ต้นสังกัด,รถชำรุดขณะอยู่ต่างพื้นที่,พขร. แจ้งผู้ควบคุมต้นสังกัด → ต้นสังกัดแจ้งการไฟฟ้าในพื้นที่ให้จัดซ่อม → โอนค่าใช้จ่ายกลับต้นสังกัด/งบงาน,ต้นสังกัดเป็นผู้บันทึกรายการจัดซ่อมลงระบบ,ข้อ 13.3,B14–B17,ยังไม่ทำ
LN-08,ยืมใช้ชั่วคราว,เติมน้ำมันในพื้นที่ที่ Fleet card เดิมไม่ครอบคลุม,ข้อยกเว้น,ผู้ควบคุมการใช้รถ,รถโยกไปทำงานต่างพื้นที่ที่ธนาคารเดิมไม่ครอบคลุม,ออก/ใช้ Fleet card ใบที่ 2 ของรถคันเดิม,ระบบรองรับ 1 คันมี Fleet card มากกว่า 1 ใบ,สรุปประชุม 4 · DB vms_mas_fleet_card_mapping,B12,ยังไม่เคาะ
LN-09,ยืมใช้ชั่วคราว,ลง ยพ.6 ระหว่างที่หน่วยงานอื่นใช้รถ,ปกติ,พขร. + ต้นสังกัด,รถถูกหน่วยงานอื่นใช้ในเดือนนั้น,ลงรายการใน ยพ.6 โดยระบุหน่วยงานที่ใช้ยานพาหนะรายเที่ยว,ยพ.6 ยังเป็นเล่มของรถ/ต้นสังกัด แต่แยกได้ว่าเที่ยวไหนใครใช้,ผนวก ง (ฟอร์มมีคอลัมน์นี้อยู่แล้ว) · ข้อ 11.2.6,B18,ยังไม่ทำ
LN-10,ยืมใช้ชั่วคราว,ยืมใช้ยาวจนควรเปลี่ยนสังกัดจริง,ข้อยกเว้น,ระบบ,รถอยู่กับหน่วยงานอื่นต่อเนื่องเกินเกณฑ์,ระบบเตือนว่าควรพิจารณาเปลี่ยนสังกัดถาวรแทน,เชื่อมเข้าเส้น TR-01,❓ ไม่มีเกณฑ์ระยะเวลาในระเบียบ,B21,ยังไม่เคาะ
LN-11,ยืมใช้ชั่วคราว,คืนรถและปิดรอบเดือน,ปกติ,ต้นสังกัด,จบภารกิจที่ยืมใช้,คืนรถ → หัวหน้าตรวจ ยพ.6 ไม่เกินวันที่ 5 → บันทึกลงระบบไม่เกินวันที่ 10 ของเดือนถัดไป,ข้อมูลการใช้/ค่าใช้จ่ายกลับเข้าต้นสังกัดครบ,ข้อ 11.2.6 · 11.2.7,B19–B21,ยังไม่ทำ
TR-13,โอนถาวร,หน่วยงานอื่นแจ้งความต้องการรถ (เคส pull),ทางเลือก,หน่วยงานที่ขาดรถ,หน่วยงานปลายทางขาดแคลนรถประเภทที่ต้องการ,แจ้งความต้องการเข้ามา → ต้นทางที่มีรถว่างรับเรื่อง → ต้นทางเปิดใบโอนจริง,สัญญาณความต้องการไม่สร้าง record ในตารางโอน กันไม่ให้มี state machine 2 ชุด,✅ เคาะ 22 ก.ย. 2569 (ต้นทางเปิดเรื่องเสมอ),T0a,ยังไม่ทำ
LN-12,ยืมใช้ชั่วคราว,หน่วยงานอื่นขอยืมรถ (เคส pull),ทางเลือก,หน่วยงานผู้ขอยืม,หน่วยงานอื่นอยากยืมรถของหน่วยงานเรา,แจ้งความต้องการ → ต้นสังกัดของรถเปิดคำขอและถือใบ → เข้าสายอนุมัติฝั่งรถ,ปลายทางไม่มีอำนาจอนุมัติ — ข้อ 11.2.5 ทั้ง 4 อนุข้อผู้อนุมัติอยู่ฝั่งรถ,ข้อ 11.2.5.3 (ผชก. เขตที่ยานพาหนะนั้นสังกัด),B0a,ยังไม่ทำ
