#,กลุ่ม,ฝั่ง,ขั้นตอน,บทบาท,Use case,สถานะในผัง,สถานะการทำ,หมายเหตุ
25,A,แจ้งซ่อม,A4 ส่งเรื่อง + ติดตาม,ผู้แจ้ง,กรองรายการตามสถานะ · ยี่ห้อรถ · รุ่นเครื่องจักร · สถานะรถ · วันที่สร้างได้,—,ทำแล้ว,
26,A,แจ้งซ่อม,A4 ส่งเรื่อง + ติดตาม,ผู้แจ้ง,เปิดดูรายละเอียดใบ + ประวัติการดำเนินการ (timeline) ได้,—,ทำแล้ว,
27,A,แจ้งซ่อม,A5 ต้องกดระหว่างทาง,หน่วยงานต้นทาง,ยืนยันนัดหมายวันเข้าซ่อม — เลือกวันจากช่วงที่ กบค. เปิดให้,S13,บางส่วน,อยู่ใน design-mock ยังไม่เข้า mock หลัก
28,A,แจ้งซ่อม,A5 ต้องกดระหว่างทาง,หน่วยงานต้นทาง,พิจารณาอาการเพิ่มเติม — เห็นชอบให้ซ่อมเพิ่ม / ไม่ซ่อมเพิ่ม,S18,ยังไม่ทำ,
29,A,แจ้งซ่อม,A5 ต้องกดระหว่างทาง,หน่วยงานต้นทาง,ยืนยันนัดรับรถ,S19,บางส่วน,
30,A,แจ้งซ่อม,A5 ต้องกดระหว่างทาง,หน่วยงานต้นทาง,รับรถกลับไปใช้งาน,S20,บางส่วน,
31,A,แจ้งซ่อม,A5 ต้องกดระหว่างทาง,หน่วยงานต้นทาง,บันทึกผลซ่อมเองแล้วปิดงาน,S2 → S21,ทำแล้ว,
32,A,แจ้งซ่อม,A5 ต้องกดระหว่างทาง,หน่วยงานต้นทาง,ซ่อมเองไม่ไหว ส่งต่อ กรย. ได้อีกที,S2 → S6,ยังไม่ทำ,เพิ่งเคาะ 16 ก.ย. 2569
33,B,รับเรื่อง,B1 หัวหน้าหน่วยงาน,หัวหน้าหน่วยงาน,เห็นรายการใบที่รอตัวเองอนุมัติ,S1,ทำแล้ว,
34,B,รับเรื่อง,B1 หัวหน้าหน่วยงาน,หัวหน้าหน่วยงาน,"เปิดรายละเอียดใบได้ — แท็บ ""ข้อมูลการซ่อม"" / ""ประวัติการดำเนินการ""",S1,ทำแล้ว,
35,B,รับเรื่อง,B1 หัวหน้าหน่วยงาน,หัวหน้าหน่วยงาน,เห็นข้อมูลครบ: ยานพาหนะ · ผู้แจ้งเหตุ · อาการเสียผูกกับจุดที่แจ้ง · รูปภาพ · ไฟล์แนบ · อะไหล่ที่ผู้แจ้งเลือกไว้,S1,ทำแล้ว,อะไหล่อ่านอย่างเดียว แก้ไม่ได้
36,B,รับเรื่อง,B1 หัวหน้าหน่วยงาน,หัวหน้าหน่วยงาน,เลือกได้ว่าจะให้ต้นทางซ่อมเอง หรือส่งต่อ กรย.,S1 → S2 / S6,ยังไม่ทำ,เคาะ 16 ก.ย. 2569 — ต้นแบบยังไม่มี
37,B,รับเรื่อง,B1 หัวหน้าหน่วยงาน,หัวหน้าหน่วยงาน,อนุมัติได้,S1,ทำแล้ว,
38,B,รับเรื่อง,B1 หัวหน้าหน่วยงาน,หัวหน้าหน่วยงาน,ไม่อนุมัติได้ — บังคับกรอกเหตุผล แล้วปิดงาน,S3,ทำแล้ว,
39,B,รับเรื่อง,B1 หัวหน้าหน่วยงาน,หัวหน้าหน่วยงาน,ตีกลับเอกสารได้ แล้วปิดงาน (ไม่มีการแก้แล้วส่งกลับ),S4,ยังไม่ทำ,ต้นแบบยังเป็นของเดิม (ยังวนกลับให้แก้)
40,B,รับเรื่อง,B2 กรย. / ผยค.,กรย.,เห็นคิวใบที่ส่งมาถึง กรย.,S6,ทำแล้ว,
41,B,รับเรื่อง,B2 กรย. / ผยค.,กรย.,เปิดรายละเอียด + เห็นเอกสารแนบจากผู้แจ้ง,S6,ทำแล้ว,
42,B,รับเรื่อง,B2 กรย. / ผยค.,กรย.,คัดแยกช่องทางซ่อมได้ 4 ทาง: ส่งกลับต้นทางซ่อมเอง · กรย. รับเรื่องซ่อมเอง · ส่งศูนย์บริการ/อู่ · ส่งต่อ กบค.,S5 / S7 / S9 / S10,ทำแล้ว,
43,B,รับเรื่อง,B2 กรย. / ผยค.,ระบบ,ปิดปุ่มยืนยันคัดแยกไว้จนกว่าจะเลือกช่องทาง,S6,ทำแล้ว,
44,B,รับเรื่อง,B2 กรย. / ผยค.,กรย.,บันทึกผลซ่อมแล้วปิดงานได้,S8 → S21,บางส่วน,
45,B,รับเรื่อง,B2 กรย. / ผยค.,กรย.,ตรวจรับงานจากอู่แล้วส่งเข้าขั้นส่งมอบรถ,S9 → S16,ยังไม่ทำ,เคาะ 16 ก.ย. 2569
46,B,รับเรื่อง,B2 กรย. / ผยค.,กรย.,ถอน/ยกเลิกเรื่องได้ก่อน กบค. กดรับ,—,ยังไม่เคาะ,"เงื่อนไขเดิมตกไปตอนยุบสถานะ ""รอ กบค. รับเรื่อง"""
47,B,รับเรื่อง,B3 กบค.,กบค.,เห็นคิวงานที่ส่งมาถึง กบค.,S10,ทำแล้ว,
48,B,รับเรื่อง,B3 กบค.,กบค.,รับงานซ่อม / ส่งคืนงานซ่อม,S10 → S11,ทำแล้ว,
49,B,รับเรื่อง,B3 กบค.,ระบบ,routing ใบเข้าแผนกตามประเภทรถ x ภาค,S10,ยังไม่ทำ,API ยังไม่ส่ง ref_vehicle_type_code กับ bureau_ba
50,B,รับเรื่อง,B3 กบค.,กบค.,เตรียมอะไหล่ แล้วเปิดช่วงเวลานัดให้ต้นทางเลือก,S12 → S13,บางส่วน,อยู่ใน design-mock
51,B,รับเรื่อง,B3 กบค.,กบค.,รับรถ + ตรวจสภาพก่อนซ่อม,S14 → S15,บางส่วน,อยู่ใน design-mock
52,B,รับเรื่อง,B3 กบค.,กบค.,บันทึกอาการเพิ่มเติมแล้วส่งให้ต้นทางตัดสิน,S15 → S17 → S18,ยังไม่ทำ,
53,B,รับเรื่อง,B3 กบค.,กบค.,ซ่อมเสร็จ แล้วเข้าขั้นรอส่งมอบรถ,S16,บางส่วน,
54,B,รับเรื่อง,B3 กบค.,กบค.,ส่งซ่อมศูนย์บริการ/อู่,S22,ยังไม่ทำ,flow ต่อยังไม่เคาะ
55,B,รับเรื่อง,B3 กบค.,กบค.,ปิดงาน,S21,บางส่วน,
