#,กลุ่ม,ฝั่ง,ขั้นตอน,บทบาท,Use case,สถานะในผัง,สถานะการทำ,หมายเหตุ
17,C,สิทธิ์,C3 เห็นใบแจ้งซ่อม,ระดับ 1,เห็นใบของรถตัวเองทุกใบ แม้ใบนั้นคนระดับ 3 เป็นคนเปิด,S1-S22,ยังไม่ทำ,
18,C,สิทธิ์,C3 เห็นใบแจ้งซ่อม,ระดับ 3,เห็นประวัติซ่อมของรถทุกคัน ใช้วิเคราะห์ต้นทุน/รุ่นที่เสียบ่อยได้,S1-S22,ยังไม่ทำ,หลักการข้อ 2 ของ map-04
19,C,สิทธิ์,C3 เห็นใบแจ้งซ่อม,ระดับ 0,ไม่เห็นใบแจ้งซ่อมเลย แม้เป็นคนขับรถคันนั้น,—,ยังไม่ทำ,
20,C,สิทธิ์,C3 เห็นใบแจ้งซ่อม,ระบบ,รถย้ายสังกัด — ใบเก่าย้ายตามรถไปด้วย หน่วยงานเดิมเห็นไม่ได้อีก,S1-S22,ยังไม่เคาะ,ผลข้างเคียงของ ใบผูกกับรถ — หน่วยงานเดิมที่จ่ายค่าซ่อมจะเข้าไม่ถึงประวัติ · vms_trn_vehicle_transfer
21,C,สิทธิ์,C4 ต่อด่าน 2 (แก้ไขใบ),ระบบ,ผ่านด่าน 1 แล้วยังแก้ใบไม่ได้ ถ้าลูกบอลไม่ได้อยู่ที่ตัวเอง,S1-S22,ยังไม่ทำ,
22,C,สิทธิ์,C4 ต่อด่าน 2 (แก้ไขใบ),กบค.,เห็นรถทุกคันทั้งประเทศ แต่แก้ใบได้เฉพาะสถานะที่เป็นของ กบค.,S10 · S11 · S12 · S14-S17 · S22,ยังไม่ทำ,
23,C,สิทธิ์,C4 ต่อด่าน 2 (แก้ไขใบ),ระบบ,สถานะปลายทางล็อกทุกคน แม้ผ่านด่าน 1,S3 · S4 · S21,ยังไม่ทำ,
24,C,สิทธิ์,C5 ตั้งค่าสิทธิ์,แอดมิน,กำหนดว่ากลุ่มผู้ใช้กลุ่มไหนอยู่ระดับ 0-3,—,ยังไม่ทำ,
25,C,สิทธิ์,C5 ตั้งค่าสิทธิ์,แอดมิน,ผูกคนเข้ากลุ่ม และผูกกลุ่มกับหน่วยงาน,—,ยังไม่ทำ,User Hub มี add-users / add-departments อยู่แล้ว
26,C,สิทธิ์,C5 ตั้งค่าสิทธิ์,แอดมิน,ถอดคนออกจากกลุ่มแล้วสิทธิ์หายทันที,—,ยังไม่เคาะ,ต้อง re-login ไหม
27,C,สิทธิ์,C5 ตั้งค่าสิทธิ์,ผู้ตรวจสอบ,ย้อนดูได้ว่าใครเปิด/เห็นใบของรถคันไหน,—,ยังไม่ทำ,User Hub มี history/action-type
28,C,สิทธิ์,C5 ตั้งค่าสิทธิ์,ระบบ,คนที่มีหลายสังกัดหรือรักษาการ ใช้ระดับสูงสุด,—,ยังไม่เคาะ,
29,C,สิทธิ์,C6 เคสพลิก,พขร.(บ),เจอรถเสียแต่แจ้งเองไม่ได้ — ต้องมีทางแจ้งผ่านพนักงาน กฟภ. หรือยอมรับว่าต้องโทรบอก,—,ยังไม่เคาะ,คนขับคือคนเจอปัญหาก่อนใคร แต่ตารางให้ no ทั้งแถว
30,C,สิทธิ์,C6 เคสพลิก,ระบบ,รถยืมข้ามหน่วยงาน — คนที่ใช้รถจริงไม่ใช่เจ้าของรถ แจ้งซ่อมได้ไหม,—,ยังไม่เคาะ,vms_trn_vehicle_key_handover
31,C,สิทธิ์,C6 เคสพลิก,ระบบ,เขต ผูกกับฟิลด์ไหนใน local_mas_department — business_area / pea_code / dept_lev2 / dept_lev3,—,ยังไม่เคาะ,ฟิลด์ที่เลือกต้องมีค่าให้ สนญ. ด้วย
32,C,สิทธิ์,C6 เคสพลิก,ระบบ,ต้องได้ผังหน่วยงาน สนญ. มาเพิ่ม,—,ยังไม่เคาะ,pea-dept-size-bridge.csv มีแต่ 12 เขต ไม่มีแถว สนญ.
